latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
23.50516,69.26018,330.24,0.55,0.51,2026-08-17,915,N,VIIRS,n,2.0NRT,290.98,3.6,D
23.50567,69.26427,330.78,0.55,0.51,2026-08-17,915,N,VIIRS,n,2.0NRT,292.07,3.46,D
21.10202,72.64528,306.41,0.71,0.75,2026-08-17,2002,N,VIIRS,n,2.0NRT,282.12,2.69,N
21.1071,72.64555,308.27,0.71,0.75,2026-08-17,2002,N,VIIRS,n,2.0NRT,282.02,3.43,N
22.03904,69.47427,337.49,0.45,0.39,2026-08-18,856,N,VIIRS,n,2.0NRT,296.43,3.92,D
21.1031,72.63488,331.79,0.39,0.36,2026-08-19,835,N,VIIRS,n,2.0NRT,289.06,1.57,D
21.10092,72.63459,334.49,0.47,0.4,2026-08-20,818,N,VIIRS,n,2.0NRT,296.82,10.43,D
21.10331,72.64813,335.83,0.47,0.4,2026-08-20,818,N,VIIRS,l,2.0NRT,297.18,7.57,D
21.10694,72.64742,340.92,0.47,0.4,2026-08-20,818,N,VIIRS,n,2.0NRT,299.37,13.54,D
