latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.90794,71.4593,300.98,0.38,0.59,2026-08-01,2144,N,VIIRS,n,2.0NRT,285.36,0.99,N
20.91014,71.45751,296.94,0.51,0.41,2026-08-04,2046,N,VIIRS,n,2.0NRT,271.58,0.51,N
21.1036,72.63686,343.75,0.59,0.53,2026-08-05,758,N,VIIRS,n,2.0NRT,291.87,10.09,D
21.10476,72.64249,332.91,0.59,0.53,2026-08-05,758,N,VIIRS,n,2.0NRT,291.55,10.09,D
21.10591,72.6481,343.53,0.59,0.53,2026-08-05,758,N,VIIRS,n,2.0NRT,290.97,15.08,D
